class,Label,Count,Year
Age,16 to 19 years,6,2013
Age,20 to 24 years,21,2013
Age,25 to 34 years,69,2013
Age,35 to 44 years,92,2013
Age,45 to 54 years,98,2013
Age,55 to 64 years,75,2013
Age,65 years and older,35,2013
Age,16 to 19 years,4,2014
Age,20 to 24 years,15,2014
Age,25 to 34 years,56,2014
Age,35 to 44 years,68,2014
Age,45 to 54 years,95,2014
Age,55 to 64 years,68,2014
Age,65 years and older,38,2014
Age,16 to 19 years,1,2015
Age,20 to 24 years,28,2015
Age,25 to 34 years,74,2015
Age,35 to 44 years,76,2015
Age,45 to 54 years,81,2015
Age,55 to 64 years,80,2015
Age,65 years and older,46,2015
Age,16 to 19 years,4,2016
Age,20 to 24 years,27,2016
Age,25 to 34 years,65,2016
Age,35 to 44 years,70,2016
Age,45 to 54 years,80,2016
Age,55 to 64 years,82,2016
Age,65 years and older,46,2016
Age,16 to 19 years,0,2017
Age,20 to 24 years,20,2017
Age,25 to 34 years,51,2017
Age,35 to 44 years,86,2017
Age,45 to 54 years,83,2017
Age,55 to 64 years,89,2017
Age,65 years and older,46,2017
Age,16 to 19 years,5,2018
Age,20 to 24 years,27,2018
Age,25 to 34 years,97,2018
Age,35 to 44 years,59,2018
Age,45 to 54 years,98,2018
Age,55 to 64 years,85,2018
Age,65 years and older,50,2018
Age,16 to 19 years,8,2019
Age,20 to 24 years,30,2019
Age,25 to 34 years,70,2019
Age,35 to 44 years,86,2019
Age,45 to 54 years,98,2019
Age,55 to 64 years,101,2019
Age,65 years and older,58,2019
Age,16 to 19 years,14,2020
Age,20 to 24 years,27,2020
Age,25 to 34 years,84,2020
Age,35 to 44 years,71,2020
Age,45 to 54 years,91,2020
Age,55 to 64 years,108,2020
Age,65 years and older,67,2020
Age,16 to 19 years,0,2021
Age,20 to 24 years,28,2021
Age,25 to 34 years,75,2021
Age,35 to 44 years,82,2021
Age,45 to 54 years,106,2021
Age,55 to 64 years,106,2021
Age,65 years and older,55,2021
Age,16 to 19 years,6,2022
Age,20 to 24 years,25,2022
Age,25 to 34 years,101,2022
Age,35 to 44 years,105,2022
Age,45 to 54 years,109,2022
Age,55 to 64 years,109,2022
Age,65 years and older,49,2022
Age,16 to 19 years,0,2023
Age,20 to 24 years,32,2023
Age,25 to 34 years,85,2023
Age,35 to 44 years,90,2023
Age,45 to 54 years,95,2023
Age,55 to 64 years,82,2023
Age,65 years and older,52,2023
Gender,Men,380,2009
Gender,Women,29,2009
Gender,Men,299,2010
Gender,Women,27,2010
Gender,Men,359,2011
Gender,Women,31,2011
Gender,Men,347,2012
Gender,Women,28,2012
Gender,Men,363,2013
Gender,Women,33,2013
Gender,Men,311,2014
Gender,Women,33,2014
Gender,Men,361,2015
Gender,Women,27,2015
Gender,Men,349,2016
Gender,Women,27,2016
Gender,Men,349,2017
Gender,Women,27,2017
Gender,Men,384,2018
Gender,Women,38,2018
Gender,Men,414,2019
Gender,Women,37,2019
Gender,Men,428,2020
Gender,Women,35,2020
Gender,Men,424,2021
Gender,Women,38,2021
Gender,Men,469,2022
Gender,Women,35,2022
Gender,Men,402,2023
Gender,Women,37,2023
Race,Hispanic or Latino,161,2009
Race,White (Non-Hispanic),176,2009
Race,Asian,37,2009
Race,Black or African-American,24,2009
Race,Native Hawaiian or Pacific Islander,0,2009
Race,American Indian or Alaskan Native,4,2009
Race,Other Races or Not Reported,7,2009
Race,Hispanic or Latino,142,2010
Race,White (Non-Hispanic),137,2010
Race,Asian,34,2010
Race,Black or African-American,10,2010
Race,Native Hawaiian or Pacific Islander,0,2010
Race,American Indian or Alaskan Native,3,2010
Race,Other Races or Not Reported,0,2010
Race,Hispanic or Latino,154,2011
Race,White (Non-Hispanic),188,2011
Race,Asian,32,2011
Race,Black or African-American,15,2011
Race,Native Hawaiian or Pacific Islander,0,2011
Race,American Indian or Alaskan Native,0,2011
Race,Other Races or Not Reported,0,2011
Race,Hispanic or Latino,137,2012
Race,White (Non-Hispanic),180,2012
Race,Asian,35,2012
Race,Black or African-American,20,2012
Race,Native Hawaiian or Pacific Islander,0,2012
Race,American Indian or Alaskan Native,0,2012
Race,Other Races or Not Reported,0,2012
Race,Hispanic or Latino,194,2013
Race,White (Non-Hispanic),163,2013
Race,Asian,20,2013
Race,Black or African-American,16,2013
Race,Native Hawaiian or Pacific Islander,0,2013
Race,American Indian or Alaskan Native,0,2013
Race,Other Races or Not Reported,3,2013
Race,Hispanic or Latino,130,2014
Race,White (Non-Hispanic),155,2014
Race,Asian,30,2014
Race,Black or African-American,21,2014
Race,Native Hawaiian or Pacific Islander,3,2014
Race,American Indian or Alaskan Native,5,2014
Race,Other Races or Not Reported,0,2014
Race,Hispanic or Latino,178,2015
Race,White (Non-Hispanic),167,2015
Race,Asian,26,2015
Race,Black or African-American,12,2015
Race,Native Hawaiian or Pacific Islander,0,2015
Race,American Indian or Alaskan Native,0,2015
Race,Other Races or Not Reported,5,2015
Race,Hispanic or Latino,148,2016
Race,White (Non-Hispanic),160,2016
Race,Asian,33,2016
Race,Black or African-American,25,2016
Race,Native Hawaiian or Pacific Islander,3,2016
Race,American Indian or Alaskan Native,4,2016
Race,Other Races or Not Reported,3,2016
Race,Hispanic or Latino,173,2017
Race,White (Non-Hispanic),144,2017
Race,Asian,31,2017
Race,Black or African-American,19,2017
Race,Native Hawaiian or Pacific Islander,5,2017
Race,American Indian or Alaskan Native,0,2017
Race,Other Races or Not Reported,4,2017
Race,Hispanic or Latino,190,2018
Race,White (Non-Hispanic),163,2018
Race,Asian,37,2018
Race,Black or African-American,28,2018
Race,Native Hawaiian or Pacific Islander,0,2018
Race,American Indian or Alaskan Native,0,2018
Race,Other Races or Not Reported,4,2018
Race,Hispanic or Latino,211,2019
Race,White (Non-Hispanic),169,2019
Race,Asian,43,2019
Race,Black or African-American,20,2019
Race,Native Hawaiian or Pacific Islander,4,2019
Race,American Indian or Alaskan Native,0,2019
Race,Other Races or Not Reported,4,2019
Race,Hispanic or Latino,214,2020
Race,White (Non-Hispanic),180,2020
Race,Asian,31,2020
Race,Black or African-American,28,2020
Race,Native Hawaiian or Pacific Islander,0,2020
Race,American Indian or Alaskan Native,7,2020
